Date : 2023-06-20 14:53:50
Directory : /Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources
Total : 92 files,  22341 codes, 705 comments, 820 blanks, all 23866 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          4 |     18,758 |          0 |          3 |     18,761 |
| JavaScript JSX |         30 |      1,755 |        369 |        369 |      2,493 |
| JavaScript     |         45 |      1,107 |        179 |        302 |      1,588 |
| CSS            |          9 |        522 |        155 |        100 |        777 |
| SQL            |          1 |         94 |          2 |          2 |         98 |
| Markdown       |          1 |         83 |          0 |         39 |        122 |
| HTML           |          1 |         15 |          0 |          2 |         17 |
| Properties     |          1 |          7 |          0 |          3 |         10 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |         92 |     22,341 |        705 |        820 |     23,866 |
| . (Files)                                                                                                     |          8 |     18,949 |          3 |         49 |     19,001 |
| dist                                                                                                          |          1 |        345 |        155 |         72 |        572 |
| public                                                                                                        |          1 |         15 |          0 |          2 |         17 |
| server                                                                                                        |         15 |        532 |         85 |        154 |        771 |
| server (Files)                                                                                                |          1 |         30 |          8 |         30 |         68 |
| server/constants                                                                                              |          1 |         17 |          0 |          7 |         24 |
| server/modules                                                                                                |          4 |         59 |         39 |         19 |        117 |
| server/routes                                                                                                 |          8 |        382 |         22 |         92 |        496 |
| server/strategies                                                                                             |          1 |         44 |         16 |          6 |         66 |
| src                                                                                                           |         67 |      2,500 |        462 |        543 |      3,505 |
| src (Files)                                                                                                   |          2 |         21 |          0 |          5 |         26 |
| src/components                                                                                                |         37 |      1,929 |        369 |        397 |      2,695 |
| src/components/AboutPage                                                                                      |          1 |         11 |          4 |          4 |         19 |
| src/components/AlumniSearchPage                                                                               |          2 |        154 |          9 |         18 |        181 |
| src/components/App                                                                                            |          2 |         85 |          9 |         25 |        119 |
| src/components/ChatPage                                                                                       |          2 |         41 |          3 |         14 |         58 |
| src/components/Footer                                                                                         |          2 |         11 |          4 |          5 |         20 |
| src/components/InfoPage                                                                                       |          1 |          9 |          4 |          4 |         17 |
| src/components/JobsPage                                                                                       |          6 |        351 |         16 |         78 |        445 |
| src/components/JobsPage (Files)                                                                               |          2 |        245 |         14 |         55 |        314 |
| src/components/JobsPage/JobsList                                                                              |          4 |        106 |          2 |         23 |        131 |
| src/components/JobsPage/JobsList (Files)                                                                      |          2 |         42 |          2 |          4 |         48 |
| src/components/JobsPage/JobsList/JobItem                                                                      |          2 |         64 |          0 |         19 |         83 |
| src/components/LandingPage                                                                                    |          2 |         28 |          1 |         10 |         39 |
| src/components/Layout                                                                                         |          1 |         13 |          1 |          3 |         17 |
| src/components/LogOutButton                                                                                   |          1 |         14 |          3 |          3 |         20 |
| src/components/LoginForm                                                                                      |          1 |         73 |          0 |         10 |         83 |
| src/components/LoginPage                                                                                      |          1 |         23 |          0 |          5 |         28 |
| src/components/NavBar                                                                                         |          1 |        215 |          8 |         20 |        243 |
| src/components/ProtectedRoute                                                                                 |          1 |          9 |          0 |          2 |         11 |
| src/components/RegisterForm                                                                                   |          1 |        150 |          5 |         21 |        176 |
| src/components/RegisterPage                                                                                   |          1 |         23 |          0 |          6 |         29 |
| src/components/ResourcesPage                                                                                  |          4 |        274 |          0 |         40 |        314 |
| src/components/Tech                                                                                           |          2 |         56 |         10 |         39 |        105 |
| src/components/TemplateClass                                                                                  |          1 |         20 |          6 |          7 |         33 |
| src/components/TemplateFunction                                                                               |          1 |         12 |          5 |          4 |         21 |
| src/components/UserPage                                                                                       |          1 |         15 |          2 |          5 |         22 |
