Date : 2023-06-23 21:05:42
Directory : /Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources
Total : 92 files,  22584 codes, 731 comments, 832 blanks, all 24147 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          4 |     18,899 |          0 |          3 |     18,902 |
| JavaScript JSX |         31 |      1,860 |        393 |        384 |      2,637 |
| JavaScript     |         45 |      1,111 |        181 |        302 |      1,594 |
| CSS            |          9 |        522 |        155 |        100 |        777 |
| SQL            |          1 |         94 |          2 |          2 |         98 |
| Markdown       |          1 |         83 |          0 |         39 |        122 |
| HTML           |          1 |         15 |          0 |          2 |         17 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |         92 |     22,584 |        731 |        832 |     24,147 |
| . (Files)                                                                                                     |          7 |     19,083 |          3 |         46 |     19,132 |
| dist                                                                                                          |          1 |        345 |        155 |         72 |        572 |
| public                                                                                                        |          1 |         15 |          0 |          2 |         17 |
| server                                                                                                        |         15 |        533 |         85 |        153 |        771 |
| server (Files)                                                                                                |          1 |         30 |          8 |         30 |         68 |
| server/constants                                                                                              |          1 |         17 |          0 |          7 |         24 |
| server/modules                                                                                                |          4 |         59 |         39 |         19 |        117 |
| server/routes                                                                                                 |          8 |        383 |         22 |         91 |        496 |
| server/strategies                                                                                             |          1 |         44 |         16 |          6 |         66 |
| src                                                                                                           |         68 |      2,608 |        488 |        559 |      3,655 |
| src (Files)                                                                                                   |          2 |         21 |          0 |          5 |         26 |
| src/components                                                                                                |         38 |      2,034 |        393 |        412 |      2,839 |
| src/components/AboutPage                                                                                      |          1 |         11 |          4 |          4 |         19 |
| src/components/AlumniSearchPage                                                                               |          2 |        154 |          9 |         18 |        181 |
| src/components/App                                                                                            |          2 |         93 |          9 |         27 |        129 |
| src/components/ChatPage                                                                                       |          2 |        105 |          0 |         20 |        125 |
| src/components/Footer                                                                                         |          2 |         11 |          4 |          5 |         20 |
| src/components/InfoPage                                                                                       |          1 |          9 |          4 |          4 |         17 |
| src/components/JobsPage                                                                                       |          6 |        351 |         16 |         78 |        445 |
| src/components/JobsPage (Files)                                                                               |          2 |        245 |         14 |         55 |        314 |
| src/components/JobsPage/JobsList                                                                              |          4 |        106 |          2 |         23 |        131 |
| src/components/JobsPage/JobsList (Files)                                                                      |          2 |         42 |          2 |          4 |         48 |
| src/components/JobsPage/JobsList/JobItem                                                                      |          2 |         64 |          0 |         19 |         83 |
| src/components/LandingPage                                                                                    |          3 |         41 |          1 |         10 |         52 |
| src/components/Layout                                                                                         |          1 |         13 |          1 |          3 |         17 |
| src/components/LogOutButton                                                                                   |          1 |         16 |          3 |          3 |         22 |
| src/components/LoginForm                                                                                      |          1 |         73 |          0 |         10 |         83 |
